Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),Power Factor
2026-01-19 13:17:00,129.4,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:03,129.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:05,129.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:07,129.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:09,129.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:11,129.4,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:13,129.5,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:15,129.4,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:17,129.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:19,129.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:21,129.5,0.000,0.0,0.005,59.9,0.00
2026-01-19 13:17:23,129.5,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:25,129.4,0.000,0.0,0.005,59.9,0.00
2026-01-19 13:17:27,129.5,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:29,129.6,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:31,129.5,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:34,129.5,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:36,129.6,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:38,129.7,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:40,129.9,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:42,129.9,0.000,0.0,0.005,59.9,0.00
2026-01-19 13:17:44,130.0,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:46,130.1,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:48,130.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:50,130.7,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:52,131.2,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:54,131.4,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:56,131.5,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:17:58,131.6,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:18:00,131.7,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:18:02,131.7,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:18:05,131.6,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:18:07,131.3,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:18:09,131.0,0.000,0.0,0.005,60.0,0.00
2026-01-19 13:18:11,130.0,0.314,40.9,0.005,60.0,1.00
2026-01-19 13:18:13,129.6,0.313,40.6,0.005,59.9,1.00
2026-01-19 13:18:15,129.5,0.312,40.4,0.005,60.0,1.00
2026-01-19 13:18:17,129.2,0.311,40.2,0.005,59.9,1.00
2026-01-19 13:18:19,129.2,0.311,40.2,0.005,59.9,1.00
2026-01-19 13:18:21,129.1,0.310,40.1,0.005,59.9,1.00
2026-01-19 13:18:23,129.2,0.310,40.1,0.005,60.0,1.00
2026-01-19 13:18:25,129.2,0.310,40.0,0.005,60.0,1.00
2026-01-19 13:18:27,129.1,0.309,39.9,0.005,60.0,1.00
2026-01-19 13:18:29,129.1,0.309,39.9,0.005,60.0,1.00
2026-01-19 13:18:31,129.0,0.308,39.8,0.005,59.9,1.00
2026-01-19 13:18:34,129.0,0.308,39.8,0.005,60.0,1.00
2026-01-19 13:18:36,129.0,0.308,39.7,0.005,60.0,1.00
2026-01-19 13:18:38,129.1,0.308,39.7,0.005,60.0,1.00
2026-01-19 13:18:40,129.2,0.308,39.8,0.005,59.9,1.00
2026-01-19 13:18:42,129.2,0.308,39.8,0.005,60.0,1.00
