Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),Power Factor
2026-01-20 15:40:11,224.6,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:11,224.6,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:11,224.6,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:11,224.6,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:11,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.8,0.032,60.0,0.89
2026-01-20 15:40:12,224.7,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:13,224.7,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:13,224.7,0.612,122.7,0.032,60.0,0.89
2026-01-20 15:40:13,224.7,0.612,122.7,0.032,60.0,0.89
