Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),Power Factor
2026-01-21 14:06:55,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,59.9,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:56,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:57,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:58,130.9,0.000,0.0,0.043,60.0,0.00
2026-01-21 14:06:59,130.9,0.000,0.0,0.043,60.0,0.00
