Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),Power Factor
2026-01-21 12:47:36,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:36,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:36,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:36,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:36,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:36,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:36,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:37,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.1,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:38,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,59.9,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:39,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:40,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.318,41.0,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.318,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:41,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:42,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:43,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:44,129.2,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:44,129.2,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:44,129.2,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:44,129.2,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,60.0,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:44,129.1,0.317,40.9,0.042,59.9,1.00
2026-01-21 12:47:45,129.1,0.316,40.9,0.042,59.9,1.00
2026-01-21 12:47:45,129.1,0.316,40.9,0.042,59.9,1.00
2026-01-21 12:47:45,129.1,0.316,40.9,0.042,59.9,1.00
2026-01-21 12:47:45,129.1,0.316,40.9,0.042,59.9,1.00
2026-01-21 12:47:45,129.1,0.316,40.9,0.042,59.9,1.00
2026-01-21 12:47:45,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:45,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:46,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.1,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.8,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.7,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.7,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.7,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.7,0.042,59.9,1.00
2026-01-21 12:47:47,129.0,0.316,40.7,0.042,59.9,1.00
2026-01-21 12:47:47,128.9,0.316,40.7,0.042,59.9,1.00
